RelatedLesson,no_of_occurance,no_of_occurance_future
introduction to computer,2,4
introduction to computer,9,7
concept of it,15,19
concept of it,8,12
data representation,10,15
data communication and networking,7,11
database management,11,15
data communication and networking,8,6
data communication and networking,12,8
system analysis and design,10,7
system analysis and design,12,15
system analysis and design,15,18
web development,15,12
concept of it,8,11
data representation,7,10
data communication and networking,20,18
data communication and networking,6,8
computer operating system,4,2
programming fundamentals,9,12
programming fundamentals,1,1
system analysis and design,14,19
database management,17,15
database management,20,19
database management,12,14
database management,13,15
fundamental of digital circuits,7,8
computer operating system,5,6
computer operating system,5,7
it in business,4,2
data communication and networking,16,17
new trends and future directions of it,17,13
new trends and future directions of it,18,14
concept of it,12,10
internet of things,20,19
web development,16,15
web development,13,14
web development,4,5
web development,8,11
web development,4,1
computer operating system,6,7
database management,12,16
programming fundamentals,16,15
programming fundamentals,13,9
programming fundamentals,14,17
programming fundamentals,3,2
programming fundamentals,19,18
programming fundamentals,3,1
programming fundamentals,10,10
fundamental of digital circuits,11,12
fundamental of digital circuits,19,20
computer operating system,14,16
computer operating system,15,17
computer operating system,2,1
computer operating system,17,17
introduction to computer,18,18
computer operating system,7,9
fundamental of digital circuits,13,17
programming fundamentals,3,4
programming fundamentals,7,8
programming fundamentals,9,10
programming fundamentals,14,16
programming fundamentals,10,14
programming fundamentals,3,3
programming fundamentals,7,7
programming fundamentals,5,8
programming fundamentals,17,20
programming fundamentals,12,14
data representation,7,6
it in business,18,20
database management,17,14
system analysis and design,12,19
system analysis and design,11,13
system analysis and design,19,17
database management,10,7
system analysis and design,17,15
system analysis and design,8,10
concept of it,3,1
new trends and future directions of it,2,3
computer operating system,11,11
computer operating system,19,16
web development,20,17
web development,9,10
web development,3,2
web development,7,9
web development,9,9
web development,10,11
data communication and networking,1,1
data communication and networking,8,12
data communication and networking,5,4
data communication and networking,16,15
data communication and networking,11,14
data communication and networking,1,3
database management,19,16
new trends and future directions of it,13,11
data representation,13,13
database management,19,18
introduction to computer,2,5
programming fundamentals,13,18
programming fundamentals,9,12
data communication and networking,4,2
concept of it,5,8
concept of it,18,17
data representation,2,5
fundamental of digital circuits,6,9
fundamental of digital circuits,2,4
computer operating system,18,17
computer operating system,13,14
computer operating system,10,9
web development,17,14
web development,5,5
web development,3,5
web development,6,4
new trends and future directions of it,20,20
new trends and future directions of it,6,12
data communication and networking,16,18
it in business,7,8
data communication and networking,10,10
data communication and networking,19,17
data communication and networking,15,20
data communication and networking,16,16
data communication and networking,19,17
system analysis and design,1,1
system analysis and design,3,6
programming fundamentals,2,1
programming fundamentals,20,18
programming fundamentals,4,5
programming fundamentals,16,13
programming fundamentals,19,15
computer operating system,20,14
web development,5,3
system analysis and design,10,10
computer operating system,5,5
system analysis and design,7,4
system analysis and design,5,7
new trends and future directions of it,2,3
programming fundamentals,2,2
concept of it,18,13
concept of it,14,16
concept of it,11,10
concept of it,18,18
concept of it,5,8
data communication and networking,19,16
data communication and networking,19,20
data communication and networking,14,12
data communication and networking,13,15
data communication and networking,5,8
data communication and networking,1,1
data communication and networking,19,14
computer operating system,6,9
data communication and networking,15,11
computer operating system,18,15
computer operating system,3,3
computer operating system,19,18
fundamental of digital circuits,14,14
fundamental of digital circuits,15,13
data communication and networking,15,20
data communication and networking,5,3
fundamental of digital circuits,20,20
fundamental of digital circuits,15,14
fundamental of digital circuits,19,17
fundamental of digital circuits,4,6
fundamental of digital circuits,1,2
computer operating system,18,15
computer operating system,3,3
introduction to computer,4,5
introduction to computer,4,1
introduction to computer,19,16
data representation,11,10
data representation,19,12
data representation,1,2
data representation,20,19
data representation,3,4
concept of it,18,16
concept of it,2,1
concept of it,4,1
concept of it,12,9
concept of it,5,6
concept of it,4,7
concept of it,20,19
introduction to computer,14,16
introduction to computer,15,11
introduction to computer,3,6
computer operating system,1,4
computer operating system,20,19
computer operating system,9,12
fundamental of digital circuits,13,14
computer operating system,1,2
computer operating system,11,13
data representation,19,20
data representation,15,20
data representation,13,18
fundamental of digital circuits,19,16
fundamental of digital circuits,3,2
fundamental of digital circuits,2,4
introduction to computer,20,18
introduction to computer,18,15
introduction to computer,5,6
data representation,5,6
data representation,5,5
data representation,4,5
data representation,15,13
data representation,18,14
data representation,19,20
data representation,10,7
data representation,18,11
data representation,12,20
data representation,2,1
concept of it,18,17
concept of it,17,17
concept of it,11,11
concept of it,15,13
concept of it,20,19
data communication and networking,18,17
introduction to computer,12,10
introduction to computer,12,13
introduction to computer,9,8
data communication and networking,8,8
data communication and networking,5,7
data communication and networking,14,12
data communication and networking,3,1
data communication and networking,3,1
concept of it,15,16
concept of it,4,1
concept of it,15,19
concept of it,19,19
data communication and networking,16,19
data communication and networking,9,10
data communication and networking,7,9
data communication and networking,5,7
concept of it,20,17
concept of it,19,15
computer operating system,13,15
computer operating system,17,18
concept of it,12,16
concept of it,5,4
computer operating system,4,2
data communication and networking,6,8
data communication and networking,15,11
data communication and networking,7,8
computer operating system,2,1
introduction to computer,16,14
introduction to computer,5,7
introduction to computer,20,19
introduction to computer,3,5
introduction to computer,15,13
programming fundamentals,20,19
